# DAIR-V2X-Seq SPD PointPillars (infrastructure-side, train-calibrated) - Polar binned error distributions (angle+distance)
# normal: param1=mu(0), param2=std, param3=mae; miss_detection constant: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
width,100.0,105.0,-180.0,-170.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-180.0,-170.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-180.0,-170.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-170.0,-160.0,constant,1.000000,,
distal,100.0,105.0,-170.0,-160.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-170.0,-160.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-170.0,-160.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-170.0,-160.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-170.0,-160.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-170.0,-160.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-170.0,-160.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-160.0,-150.0,constant,1.000000,,
distal,100.0,105.0,-160.0,-150.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-160.0,-150.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-160.0,-150.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-160.0,-150.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-160.0,-150.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-160.0,-150.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-160.0,-150.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-150.0,-140.0,constant,1.000000,,
distal,100.0,105.0,-150.0,-140.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-150.0,-140.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-150.0,-140.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-150.0,-140.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-150.0,-140.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-150.0,-140.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-150.0,-140.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-140.0,-130.0,constant,1.000000,,
distal,100.0,105.0,-140.0,-130.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-140.0,-130.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-140.0,-130.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-140.0,-130.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-140.0,-130.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-140.0,-130.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-140.0,-130.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-130.0,-120.0,constant,1.000000,,
distal,100.0,105.0,-130.0,-120.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-130.0,-120.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-130.0,-120.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-130.0,-120.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-130.0,-120.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-130.0,-120.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-130.0,-120.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-120.0,-110.0,constant,1.000000,,
distal,100.0,105.0,-120.0,-110.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-120.0,-110.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-120.0,-110.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-120.0,-110.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-120.0,-110.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-120.0,-110.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-120.0,-110.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-110.0,-100.0,constant,1.000000,,
distal,100.0,105.0,-110.0,-100.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-110.0,-100.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-110.0,-100.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-110.0,-100.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-110.0,-100.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-110.0,-100.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-110.0,-100.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-100.0,-90.0,constant,1.000000,,
distal,100.0,105.0,-100.0,-90.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-100.0,-90.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-100.0,-90.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-100.0,-90.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-100.0,-90.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-100.0,-90.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-100.0,-90.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-90.0,-80.0,constant,1.000000,,
distal,100.0,105.0,-90.0,-80.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-90.0,-80.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-90.0,-80.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-90.0,-80.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-90.0,-80.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-90.0,-80.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-90.0,-80.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-80.0,-70.0,constant,1.000000,,
distal,100.0,105.0,-80.0,-70.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-80.0,-70.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-80.0,-70.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-80.0,-70.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-80.0,-70.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-80.0,-70.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-80.0,-70.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-70.0,-60.0,constant,1.000000,,
distal,100.0,105.0,-70.0,-60.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-70.0,-60.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-70.0,-60.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-70.0,-60.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-70.0,-60.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-70.0,-60.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-70.0,-60.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-60.0,-50.0,constant,1.000000,,
distal,100.0,105.0,-60.0,-50.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-60.0,-50.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-60.0,-50.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-60.0,-50.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-60.0,-50.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-60.0,-50.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-60.0,-50.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-50.0,-40.0,constant,1.000000,,
distal,100.0,105.0,-50.0,-40.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-50.0,-40.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-50.0,-40.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-50.0,-40.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-50.0,-40.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-50.0,-40.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-50.0,-40.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-40.0,-30.0,constant,1.000000,,
distal,100.0,105.0,-40.0,-30.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-40.0,-30.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-40.0,-30.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-40.0,-30.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-40.0,-30.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-40.0,-30.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-40.0,-30.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-30.0,-20.0,constant,1.000000,,
distal,100.0,105.0,-30.0,-20.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-30.0,-20.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-30.0,-20.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-30.0,-20.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-30.0,-20.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-30.0,-20.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-30.0,-20.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-20.0,-10.0,constant,1.000000,,
distal,100.0,105.0,-20.0,-10.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-20.0,-10.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-20.0,-10.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-20.0,-10.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-20.0,-10.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-20.0,-10.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-20.0,-10.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,-10.0,0.0,constant,1.000000,,
distal,100.0,105.0,-10.0,0.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,-10.0,0.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,-10.0,0.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,-10.0,0.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,-10.0,0.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,-10.0,0.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,-10.0,0.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,0.0,10.0,constant,1.000000,,
distal,100.0,105.0,0.0,10.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,0.0,10.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,0.0,10.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,0.0,10.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,0.0,10.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,0.0,10.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,0.0,10.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,10.0,20.0,constant,1.000000,,
distal,100.0,105.0,10.0,20.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,10.0,20.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,10.0,20.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,10.0,20.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,10.0,20.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,10.0,20.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,10.0,20.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,20.0,30.0,constant,1.000000,,
distal,100.0,105.0,20.0,30.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,20.0,30.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,20.0,30.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,20.0,30.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,20.0,30.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,20.0,30.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,20.0,30.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,30.0,40.0,constant,1.000000,,
distal,100.0,105.0,30.0,40.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,30.0,40.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,30.0,40.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,30.0,40.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,30.0,40.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,30.0,40.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,30.0,40.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,40.0,50.0,constant,1.000000,,
distal,100.0,105.0,40.0,50.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,40.0,50.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,40.0,50.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,40.0,50.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,40.0,50.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,40.0,50.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,40.0,50.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,50.0,60.0,constant,1.000000,,
distal,100.0,105.0,50.0,60.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,50.0,60.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,50.0,60.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,50.0,60.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,50.0,60.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,50.0,60.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,50.0,60.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,60.0,70.0,constant,1.000000,,
distal,100.0,105.0,60.0,70.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,60.0,70.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,60.0,70.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,60.0,70.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,60.0,70.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,60.0,70.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,60.0,70.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,70.0,80.0,constant,1.000000,,
distal,100.0,105.0,70.0,80.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,70.0,80.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,70.0,80.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,70.0,80.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,70.0,80.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,70.0,80.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,70.0,80.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,80.0,90.0,constant,1.000000,,
distal,100.0,105.0,80.0,90.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,80.0,90.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,80.0,90.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,80.0,90.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,80.0,90.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,80.0,90.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,80.0,90.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,90.0,100.0,constant,1.000000,,
distal,100.0,105.0,90.0,100.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,90.0,100.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,90.0,100.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,90.0,100.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,90.0,100.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,90.0,100.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,90.0,100.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,100.0,110.0,constant,1.000000,,
distal,100.0,105.0,100.0,110.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,100.0,110.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,100.0,110.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,100.0,110.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,100.0,110.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,100.0,110.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,100.0,110.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,110.0,120.0,constant,1.000000,,
distal,100.0,105.0,110.0,120.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,110.0,120.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,110.0,120.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,110.0,120.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,110.0,120.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,110.0,120.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,110.0,120.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,120.0,130.0,constant,1.000000,,
distal,100.0,105.0,120.0,130.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,120.0,130.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,120.0,130.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,120.0,130.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,120.0,130.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,120.0,130.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,120.0,130.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,130.0,140.0,constant,1.000000,,
distal,100.0,105.0,130.0,140.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,130.0,140.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,130.0,140.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,130.0,140.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,130.0,140.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,130.0,140.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,130.0,140.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,140.0,150.0,constant,1.000000,,
distal,100.0,105.0,140.0,150.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,140.0,150.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,140.0,150.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,140.0,150.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,140.0,150.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,140.0,150.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,140.0,150.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,150.0,160.0,constant,1.000000,,
distal,100.0,105.0,150.0,160.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,150.0,160.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,150.0,160.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,150.0,160.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,150.0,160.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,150.0,160.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,150.0,160.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,160.0,170.0,constant,1.000000,,
distal,100.0,105.0,160.0,170.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,160.0,170.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,160.0,170.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,160.0,170.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,160.0,170.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,160.0,170.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,160.0,170.0,normal,0.000000,0.094437,0.062387
miss_detection,100.0,105.0,170.0,180.0,constant,1.000000,,
distal,100.0,105.0,170.0,180.0,normal,0.000000,0.126547,0.077571
perpendicular,100.0,105.0,170.0,180.0,normal,0.000000,0.112768,0.070274
height,100.0,105.0,170.0,180.0,normal,0.000000,0.084922,0.052250
yaw,100.0,105.0,170.0,180.0,normal,0.000000,0.401671,0.104889
width,100.0,105.0,170.0,180.0,normal,0.000000,0.114259,0.083224
length,100.0,105.0,170.0,180.0,normal,0.000000,0.203165,0.115768
box_height,100.0,105.0,170.0,180.0,normal,0.000000,0.094437,0.062387
miss_detection,105.0,110.0,-180.0,-170.0,constant,1.000000,,
distal,105.0,110.0,-180.0,-170.0,normal,0.000000,0.126547,0.077571
perpendicular,105.0,110.0,-180.0,-170.0,normal,0.000000,0.112768,0.070274
height,105.0,110.0,-180.0,-170.0,normal,0.000000,0.084922,0.052250
yaw,105.0,110.0,-180.0,-170.0,normal,0.000000,0.401671,0.104889
width,105.0,110.0,-180.0,-170.0,normal,0.000000,0.114259,0.083224
length,105.0,110.0,-180.0,-170.0,normal,0.000000,0.203165,0.115768
box_height,105.0,110.0,-180.0,-170.0,normal,0.000000,0.094437,0.062387
miss_detection,105.0,110.0,-170.0,-160.0,constant,1.000000,,
distal,105.0,110.0,-170.0,-160.0,normal,0.000000,0.126547,0.077571
perpendicular,105.0,110.0,-170.0,-160.0,normal,0.000000,0.112768,0.070274
height,105.0,110.0,-170.0,-160.0,normal,0.000000,0.084922,0.052250
yaw,105.0,110.0,-170.0,-160.0,normal,0.000000,0.401671,0.104889
width,105.0,110.0,-170.0,-160.0,normal,0.000000,0.114259,0.083224
length,105.0,110.0,-170.0,-160.0,normal,0.000000,0.203165,0.115768
box_height,105.0,110.0,-170.0,-160.0,normal,0.000000,0.094437,0.062387
miss_detection,105.0,110.0,-160.0,-150.0,constant,1.000000,,
distal,105.0,110.0,-160.0,-150.0,normal,0.000000,0.126547,0.077571
perpendicular,105.0,110.0,-160.0,-150.0,normal,0.000000,0.112768,0.070274
height,105.0,110.0,-160.0,-150.0,normal,0.000000,0.084922,0.052250
yaw,105.0,110.0,-160.0,-150.0,normal,0.000000,0.401671,0.104889
width,105.0,110.0,-160.0,-150.0,normal,0.000000,0.114259,0.083224
length,105.0,110.0,-160.0,-150.0,normal,0.000000,0.203165,0.115768
box_height,105.0,110.0,-160.0,-150.0,normal,0.000000,0.094437,0.062387
miss_detection,105.0,110.0,-150.0,-140.0,constant,1.000000,,
distal,105.0,110.0,-150.0,-140.0,normal,0.000000,0.126547,0.077571
perpendicular,105.0,110.0,-150.0,-140.0,normal,0.000000,0.112768,0.070274
height,105.0,110.0,-150.0,-140.0,normal,0.000000,0.084922,0.052250
yaw,105.0,110.0,-150.0,-140.0,normal,0.000000,0.401671,0.104889
width,105.0,110.0,-150.0,-140.0,normal,0.000000,0.114259,0.083224
length,105.0,110.0,-150.0,-140.0,normal,0.000000,0.203165,0.115768
box_height,105.0,110.0,-150.0,-140.0,normal,0.000000,0.094437,0.062387
miss_detection,105.0,110.0,-140.0,-130.0,constant,1.000000,,
distal,105.0,110.0,-140.0,-130.0,normal,0.000000,0.126547,0.077571
perpendicular,105.0,110.0,-140.0,-130.0,normal,0.000000,0.112768,0.070274
height,105.0,110.0,-140.0,-130.0,normal,0.000000,0.084922,0.052250
yaw,105.0,110.0,-140.0,-130.0,normal,0.000000,0.401671,0.104889
width,105.0,110.0,-140.0,-130.0,normal,0.000000,0.114259,0.083224
length,105.0,110.0,-140.0,-130.0,normal,0.000000,0.203165,0.115768
box_height,105.0,110.0,-140.0,-130.0,normal,0.000000,0.094437,0.062387
miss_detection,105.0,110.0,-130.0,-120.0,constant,1.000000,,
distal,105.0,110.0,-130.0,-120.0,normal,0.000000,0.126547,0.077571
perpendicular,105.0,110.0,-130.0,-120.0,normal,0.000000,0.112768,0.070274
height,105.0,110.0,-130.0,-120.0,normal,0.000000,0.084922,0.052250
yaw,105.0,110.0,-130.0,-120.0,normal,0.000000,0.401671,0.104889
